time,anglediff,dangle2,angle1,dangle1,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19
0.03996,0.00031,8.968126,-0.54984,0.009767,1,0.00031,-35.832845,0.285847,5.126221,,,,,,,,,
0.07996,0.002007,8.949904,-0.549099,0.02848,0.999998,0.002007,-35.660394,0.83316,5.120021,,,,,,,,,
0.11996,0.004051,8.951575,-0.547496,0.052048,0.999992,0.004051,-35.615076,1.52843,5.106604,,,,,,,,,
0.15996,0.005571,8.976382,-0.544939,0.075281,0.999984,0.005571,-35.717898,2.229605,5.08517,,,,,,,,,
0.19996,0.005634,9.024043,-0.541553,0.092553,0.999984,0.005634,-35.969831,2.776872,5.056736,,,,,,,,,
0.23996,0.003397,9.090331,-0.537685,0.098564,0.999994,0.003397,-36.349367,3.005196,5.024185,,,,,,,,,
0.27996,-0.001731,9.166874,-0.533874,0.089177,0.999999,-0.001731,-36.810758,2.765787,4.992037,,,,,,,,,
0.31996,-0.009929,9.241562,-0.530786,0.062284,0.999951,-0.009929,-37.28517,1.96126,4.965933,,,,,,,,,
0.35996,-0.02084,9.300042,-0.529118,0.018545,0.999783,-0.020838,-37.687983,0.589899,4.951811,,,,,,,,,
0.39996,-0.03353,9.32847,-0.529478,-0.03827,0.999438,-0.033524,-37.934113,-1.22005,4.954863,,,,,,,,,
0.43996,-0.046582,9.316997,-0.532267,-0.10158,0.998915,-0.046565,-37.958834,-3.213844,4.978454,,,,,,,,,
0.47996,-0.058315,9.262652,-0.53758,-0.163043,0.9983,-0.058282,-37.736232,-5.066594,5.023296,,,,,,,,,
0.51996,-0.067084,9.170222,-0.54517,-0.214084,0.997751,-0.067033,-37.286171,-6.474062,5.087111,,,,,,,,,
0.55996,-0.07157,9.050695,-0.55447,-0.247434,0.99744,-0.071509,-36.666276,-7.232516,5.16489,,,,,,,,,
0.59996,-0.070966,8.918143,-0.564663,-0.2582,0.997483,-0.070906,-35.953976,-7.270058,5.249634,,,,,,,,,
0.63996,-0.065035,8.786573,-0.574795,-0.244256,0.997886,-0.064989,-35.227981,-6.626495,5.333331,,,,,,,,,
0.67996,-0.054065,8.667891,-0.583879,-0.206069,0.998539,-0.054038,-34.556123,-5.40673,5.407904,,,,,,,,,
0.71996,-0.038761,8.571228,-0.590991,-0.146224,0.999249,-0.038751,-33.991192,-3.735723,5.465977,,,,,,,,,
0.75996,-0.020147,8.503295,-0.595343,-0.068902,0.999797,-0.020145,-33.572555,-1.730039,5.50138,,,,,,,,,
0.79996,0.000524,8.469204,-0.596341,0.020516,1,0.000524,-33.330397,0.511949,5.509484,,,,,,,,,
0.83996,0.021808,8.473288,-0.593625,0.115679,0.999762,0.021806,-33.290056,2.905033,5.487416,,,,,,,,,
0.87996,0.042098,8.519574,-0.587107,0.209354,0.999114,0.042085,-33.47484,5.361216,5.434293,,,,,,,,,
0.91996,0.059631,8.611657,-0.577004,0.293443,0.998223,0.059595,-33.906025,7.764789,5.351509,,,,,,,,,
0.95996,0.072525,8.751672,-0.563877,0.3591,0.997371,0.072461,-34.598463,9.939615,5.243118,,,,,,,,,
0.99996,0.078875,8.93808,-0.548645,0.397108,0.996891,0.078794,-35.54973,11.613668,5.116226,,,,,,,,,
1.03996,0.07697,9.162205,-0.532593,0.398806,0.997039,0.076894,-36.721305,12.398745,4.981214,,,,,,,,,
1.07996,0.065654,9.404217,-0.517312,0.357782,0.997846,0.065607,-38.01434,11.826606,4.851496,,,,,,,,,
